LAMMPS data file via script
103 1 1.01934 3.473323 1.938311
104 1 3.188031 2.449735 4.731536
105 1 1.822086 2.015938 2.535978
106 1 2.791773 1.371096 3.265031
107 1 2.805027 1.859651 2.281323
108 1 0.133078 4.936213 2.173729
109 1 2.727972 3.139383 2.453855
110 1 2.664096 0.848828 2.591459
111 1 3.936634 2.891554 2.610943
112 1 4.275792 0.517383 1.150626
113 1 1.276638 3.499465 3.456266
114 1 4.246727 2.248888 2.565318
115 1 3.432591 0.628183 3.795067
116 1 0.920783 2.602368 2.757425
117 1 3.245534 1.64345 1.593545
118 1 3.021928 3.401091 2.151171
119 1 3.593681 3.947945 0.286218
120 1 4.574387 2.897729 1.731155
121 1 3.833975 0.910409 0.5029
122 1 3.242709 3.348955 1.081271
123 1 1.428512 4.723532 1.707923
124 1 3.058206 3.664091 1.762235
125 1 3.605254 2.853945 0.041445
126 1 2.04726 4.459227 2.271707
127 1 2.10609 4.816951 2.052729
128 1 0.537663 2.43565 2.862637
129 1 1.878115 4.078888 0.70271
130 1 4.451035 1.285347 2.773832
131 1 3.627919 3.025702 3.307733
132 1 3.022075 4.100476 3.082853
133 1 1.750283 3.840297 1.463105
134 1 1.56434 4.595576 4.842621
135 1 0.259568 2.27853 0.970597
136 1 0.888555 3.529383 4.672166
137 1 4.973444 4.242375 2.365499
138 1 1.439569 4.628213 4.378017
139 1 4.161062 1.767001 4.052962
140 1 1.587699 1.238917 0.928367
141 1 4.33305 3.589059 0.329714
142 1 4.176891 1.048436 2.736318
143 1 3.926156 0.911756 1.964284
144 1 1.325362 1.459145 1.426665
145 1 1.788394 4.042004 1.496449
146 1 1.458258 1.691714 2.49294
147 1 2.001574 2.749789 0.649144
148 1 1.922564 2.007443 0.240945
149 1 2.592098 2.012626 1.732146
150 1 3.611406 3.296236 2.332055
151 1 4.83376 2.239656 1.154913
152 1 4.114371 0.36808 4.492139
153 1 3.103697 1.679859 3.333389
154 1 2.027462 2.089553 2.497881
155 1 3.214646 2.99769 1.722587
156 1 0.698012 1.930692 4.067997
157 1 4.790777 0.121986 0.073473
158 1 1.191657 4.713519 0.788515
159 1 2.122983 1.850718 1.291277
160 1 3.717072 0.214314 2.860025
161 1 0.750406 0.264295 2.235566
162 1 0.030661 3.50688 2.335453
163 1 0.319796 3.343516 3.794177
164 1 2.837381 2.96718 1.460555
165 1 4.774546 3.844107 4.830919
166 1 0.102059 0.208194 4.235167
167 1 0.239872 4.799971 4.618348
168 1 3.325987 4.350566 2.496398
169 1 3.643594 1.10486 1.010506
170 1 3.077994 3.273918 1.876057
171 1 2.643512 3.483387 2.829329
172 1 1.530817 3.774002 4.922458
173 1 0.51162 0.148042 4.220959
174 1 2.846193 2.520736 2.000109
175 1 1.666831 2.287674 1.338173
176 1 1.858758 2.390228 3.7186
177 1 3.069855 1.257055 4.117848
178 1 4.171363 1.826434 1.821592
179 1 4.712166 0.067782 2.24394
180 1 1.243306 2.779083 4.179689
181 1 2.091246 2.511384 1.365014
182 1 0.525815 0.381378 0.552699
183 1 4.068498 2.798023 2.390647
184 1 1.39928 2.907041 4.625607
185 1 1.589237 4.509831 4.635828
186 1 0.962639 1.322491 2.600372
187 1 1.115881 4.264017 0.821637
188 1 0.572268 2.911928 1.491601
189 1 3.499784 0.403735 0.36811
190 1 4.030351 3.787718 0.95659
191 1 4.99342 3.754529 3.966617
192 1 2.554851 3.321289 0.030228
193 1 2.961724 3.487584 0.857273
194 1 1.100434 4.902657 1.168976
195 1 0.494962 1.458249 0.986661
196 1 4.260619 4.619498 2.807482
197 1 3.712544 2.111093 2.736213
198 1 2.259259 3.20149 3.709064
199 1 4.052464 0.22124 1.578683
200 1 3.31465 2.868084 1.391905
201 1 2.810169 2.65573 0.606884
202 1 1.562265 2.231054 1.904929
203 1 1.131903 0.142395 2.085032
204 1 2.82433 3.944922 3.831158
205 1 4.615708 4.872451 3.769199
206 1 0.719941 4.103768 1.952585
207 1 4.612707 0.254068 2.617267
208 1 2.318892 4.088713 2.86764
209 1 1.562204 0.988473 1.498834
210 1 4.67942 0.566114 3.805613
211 1 0.524509 1.431064 2.116001
212 1 1.064261 2.784496 3.168025
213 1 3.675296 0.847008 0.695724
214 1 3.306712 2.637441 2.438234
215 1 4.896708 0.28695 0.094021
216 1 2.507097 0.23235 4.216692
217 1 4.617332 2.085759 2.156673
218 1 4.817085 3.23847 2.852968
219 1 4.833234 1.210743 4.629849
220 1 4.116188 0.49593 3.617342
221 1 3.311928 1.710859 0.716697
222 1 2.561593 3.316301 4.864104
223 1 3.891352 4.361942 4.619613
224 1 4.628136 4.562701 3.314386
225 1 0.0577 0.660402 0.055676
226 1 1.61937 3.675766 2.859066
227 1 4.79865 3.742539 3.566183
228 1 0.85916 2.541347 0.856939
229 1 0.872451 2.761499 1.69105
230 1 3.823393 0.022084 4.748082
231 1 4.57061 1.428401 3.06202
232 1 2.981182 4.012628 3.936905
233 1 3.838118 1.589986 2.179379
234 1 0.519079 1.528246 4.153286
235 1 0.077385 4.853646 4.979997
236 1 1.374661 4.141442 4.184974
237 1 1.80685 1.601125 1.902216
238 1 3.567484 1.965827 3.990459
239 1 2.003932 0.483329 1.645555
240 1 1.525943 0.36796 0.172611
241 1 0.789257 4.225573 4.18073
242 1 2.402594 4.973691 1.953596
243 1 2.727639 4.211276 1.358748
244 1 3.038293 0.751141 1.126399
245 1 0.271428 3.538308 0.810728
246 1 2.661385 1.839099 2.444673
247 1 3.780518 3.277195 0.34129
248 1 3.96696 1.797817 1.841143
249 1 0.503223 0.042606 4.680054
250 1 0.043897 4.808586 2.500423
251 1 0.282768 3.113691 1.678502
252 1 1.72072 1.684438 1.857576
253 1 4.155966 3.250695 2.967922
254 1 0.152158 4.795979 3.105197
255 1 3.146775 4.875439 1.026296
256 1 4.989078 4.380215 2.292342
257 1 2.822859 2.895279 2.034874
258 1 0.49576 1.4574 3.152675
259 1 1.351625 4.104635 4.711318
260 1 0.082531 0.144003 2.739048
261 1 2.102856 2.631785 0.931268
262 1 1.728298 0.305101 4.816175
263 1 3.890539 0.955267 4.86929
264 1 0.305688 0.90836 4.31409
265 1 1.443978 4.35563 2.565808
266 1 3.261294 0.102045 4.227665
267 1 4.040824 3.163432 4.40982
268 1 0.06996 3.148655 3.84416
269 1 2.914177 2.100096 0.159502
270 1 3.831955 1.550349 2.016601
271 1 2.895139 1.402615 4.029899
272 1 3.398391 1.491601 1.778258
273 1 2.698163 4.136318 4.318363
274 1 0.279081 3.29645 4.45299
275 1 1.696464 3.402695 2.569452
276 1 4.860349 1.066025 4.715251
277 1 0.817274 2.762377 3.482775
278 1 1.040069 2.681891 1.504438
279 1 3.592558 0.732071 4.937696
280 1 4.140994 4.101737 4.079562
281 1 1.324567 4.632986 4.417911
282 1 3.706431 4.960824 2.430637
283 1 3.985424 1.761396 1.06502
284 1 2.257387 3.916527 0.7235
285 1 2.62564 4.522115 0.231733
286 1 3.299 3.323365 2.592243
287 1 1.479433 4.336939 1.853353
288 1 2.514835 1.633742 1.676915
289 1 0.44844 2.308883 1.684407
290 1 0.394131 2.658254 0.098525
291 1 1.631839 1.91261 2.218078
292 1 1.808971 0.411025 2.598472
293 1 0.181132 3.085637 2.590789
294 1 4.279825 2.140412 0.803162
295 1 3.730622 0.81612 3.629144
296 1 3.643224 3.86447 3.832778
297 1 2.502708 1.328357 4.858005
298 1 2.859714 2.971092 0.459708
299 1 3.181344 1.572864 0.713349
300 1 1.503003 2.172881 3.909729
301 1 1.786796 1.524605 2.740989
302 1 3.902019 2.490607 0.98894
303 1 4.56911 2.492828 0.03573
304 1 2.787883 4.448209 2.467139
305 1 2.295746 3.78262 0.312088
306 1 4.84071 0.229115 1.609872
307 1 4.088845 0.193963 3.657041
308 1 1.522579 4.416159 4.808467
309 1 1.888832 3.702501 4.97929
310 1 2.509742 2.565671 3.235307
311 1 4.761094 2.171424 4.890942
312 1 1.659703 0.060093 0.879953
313 1 4.39529 0.62136 2.596053
314 1 2.712007 2.678138 0.481164
315 1 0.112696 0.02079 1.932949
316 1 2.212912 0.876642 4.553375
317 1 2.218207 3.012942 1.23592
318 1 4.637568 3.255533 4.219092
319 1 0.910985 0.321615 2.090327
320 1 2.884724 2.800072 3.979496
321 1 3.883351 2.930841 4.498956
322 1 3.454892 3.43111 2.510678
323 1 3.33532 4.995943 0.94718
324 1 2.657395 0.995443 3.13508
325 1 4.082627 4.204522 3.987194
326 1 2.165399 3.185857 0.13882
327 1 4.314726 3.266426 2.37347
328 1 1.153325 0.789824 2.876658
329 1 1.738706 2.493094 3.453789
330 1 3.974898 4.590738 0.644054
331 1 1.996286 1.562107 1.559031
332 1 2.359586 2.498215 3.745551
333 1 4.705864 1.043866 2.581392
334 1 1.528818 2.764215 2.474547
335 1 1.15349 4.237678 4.1864
336 1 0.100559 0.9874 0.836599
337 1 4.205509 1.13452 0.69478
338 1 4.925852 1.620462 1.943731
339 1 3.521537 1.859296 1.883833
340 1 4.568024 3.439448 1.032584
341 1 3.672959 0.399618 1.751371
342 1 4.05475 1.479587 4.940147
343 1 2.236389 3.222052 1.268245
344 1 2.411727 4.313334 4.549623
345 1 3.076189 4.119511 2.474318
346 1 4.30337 4.271831 0.555127
347 1 4.854442 2.455286 4.899173
348 1 2.297162 3.065454 4.110797
349 1 3.602216 3.710198 3.163095
350 1 0.816774 0.021084 4.90064
351 1 1.841336 4.816577 1.875004
352 1 4.231977 1.988292 4.395001
353 1 3.883255 4.321821 3.843992
354 1 1.30879 0.972396 0.868538
355 1 4.688747 4.527558 0.212989
356 1 4.142906 1.516496 4.246779
357 1 2.845524 0.33365 4.979377
358 1 4.105557 4.138089 1.334028
359 1 1.534941 0.79108 0.499191
360 1 1.678963 3.536719 1.643602
361 1 3.250702 4.370401 0.927262
362 1 4.544721 1.764845 4.743579
363 1 0.433936 0.840518 4.3517
364 1 0.571303 2.393702 0.565489
365 1 0.97649 2.021223 4.167431
366 1 1.39558 1.450207 1.076337
367 1 0.731152 1.04914 1.539196
368 1 3.455413 2.266846 2.982705
369 1 2.605613 0.894365 3.812766
370 1 2.698892 0.712124 3.399503
371 1 1.639184 0.518475 4.995149
372 1 1.383059 3.294393 0.756331
373 1 3.604866 4.642021 2.88862
374 1 2.898219 0.042303 3.242708
375 1 4.083894 3.311544 0.65351
376 1 2.318162 1.074265 1.216921
377 1 3.080945 2.641436 0.485046
378 1 0.118301 0.070122 0.199668
379 1 0.856807 3.359528 1.107277
380 1 3.72182 1.022884 1.210117
381 1 1.440332 4.239717 2.316868
382 1 2.193214 2.464069 3.077281
383 1 2.893098 1.335738 1.81358
384 1 4.800772 0.1925 0.111237
385 1 1.52802 0.967118 2.221256
386 1 4.713754 3.467406 2.458856
387 1 4.253406 4.361797 3.080359
388 1 0.419699 2.185661 2.71303
389 1 2.815604 4.507813 3.213608
390 1 0.989604 2.188734 4.463172
391 1 1.184195 3.540103 0.655076
392 1 3.076642 3.305086 1.856304
393 1 0.243134 3.734219 1.511994
394 1 1.067489 4.445652 0.147509
395 1 3.088399 4.187753 2.474342
396 1 4.412291 1.281055 1.386826
397 1 1.471236 0.755688 1.817818
398 1 1.368452 0.758978 2.231575
399 1 1.329994 0.456237 1.694094
400 1 2.654544 4.266568 2.217109
401 1 0.218196 0.38165 0.666095
402 1 4.085475 1.503471 3.411641
403 1 3.948296 2.33485 3.018495
404 1 4.528212 3.796958 3.715147
405 1 2.202399 3.554065 3.117609
406 1 4.594524 1.833488 1.821705
407 1 4.070787 0.344241 1.330844
408 1 2.030371 3.795322 4.314727
409 1 0.661409 0.567632 1.150849
410 1 4.062341 3.005722 0.27319
411 1 4.429703 3.085749 0.92219
412 1 4.948102 0.63571 1.938575
413 1 3.597262 0.249036 3.62138
414 1 1.889293 0.605996 1.330064
415 1 0.330676 2.034386 0.779048
416 1 1.558045 3.098356 1.298189
417 1 2.210518 2.488226 4.735962
418 1 0.481524 3.691888 1.909787
419 1 1.070613 0.83024 4.558165
420 1 3.356027 0.107065 0.817502
421 1 2.95652 0.457502 3.28406
422 1 4.642461 2.350115 1.180788
423 1 4.569172 3.506715 4.06675
424 1 3.912571 4.644033 1.091428
425 1 1.086023 4.367213 2.481066
426 1 4.984906 2.201317 3.501333
427 1 2.684785 2.628686 0.603325
428 1 3.644604 0.495838 2.072124
429 1 2.557679 0.126641 3.453006
430 1 4.648609 1.436361 1.315709
431 1 0.206517 2.920632 1.948772
432 1 4.155748 4.925572 1.287988
433 1 3.516107 3.272612 3.003006
434 1 1.835793 0.267846 0.702988
435 1 3.145617 4.957805 4.315373
436 1 2.535789 2.283976 4.372945
437 1 0.651435 3.426828 1.725142
438 1 2.131115 4.124108 2.000415
439 1 4.133279 3.067339 3.369844
440 1 1.263502 0.31178 4.833508
441 1 1.429318 0.709191 0.485959
442 1 4.787452 3.137006 0.82707
443 1 4.360278 2.210058 0.865846
444 1 4.08323 4.540114 1.757717
445 1 1.043995 1.604403 2.15486
446 1 2.236626 4.896114 1.158424
447 1 1.812649 4.641648 1.550723
448 1 0.626417 0.242861 0.016856
449 1 4.361244 3.626904 3.197139
450 1 4.747357 1.629751 2.667164
451 1 3.379615 2.24805 3.202083
452 1 2.745029 0.422536 0.774999
453 1 1.464436 0.952078 3.196289
454 1 0.301233 4.506765 4.674186
455 1 2.04472 3.486862 0.629879
456 1 4.416466 4.797979 3.024195
457 1 1.396579 1.449081 0.628181
458 1 2.038175 2.965921 0.50457
459 1 0.313581 1.081807 3.933073
460 1 0.934078 0.788685 1.095794
461 1 3.660463 4.893689 2.921224
462 1 4.966051 1.994603 3.675822
463 1 3.897912 1.507566 1.01131
464 1 4.880089 3.506465 2.780218
465 1 3.932489 3.342831 3.831104
466 1 2.749084 2.495231 3.805264
467 1 4.44903 1.826792 3.945854
468 1 1.089787 0.043562 4.389199
469 1 2.169921 2.72937 1.740363
470 1 4.70358 2.495598 4.534576
471 1 4.457359 0.214788 1.811373
472 1 2.32047 3.033539 3.10732
473 1 0.308704 0.624715 4.953381
474 1 2.821797 3.031876 3.277638
475 1 0.076108 0.633265 4.438593
476 1 1.451236 1.168335 3.766782
477 1 4.152827 1.925299 2.271061
478 1 1.852484 1.36576 3.374768
479 1 4.149031 4.767585 2.77284
480 1 0.909573 4.453266 2.787834
481 1 1.521017 0.423215 2.596031
482 1 2.259554 1.650898 1.966287
483 1 3.754205 3.915242 1.141989
484 1 2.52536 4.526788 0.005263
485 1 2.961952 4.141754 3.366978
486 1 2.436558 1.554256 0.687482
487 1 2.938922 2.796396 4.906515
488 1 2.568435 0.764785 0.765755
489 1 0.10087 3.789592 1.813278
490 1 3.93526 2.692254 2.971071
491 1 4.376895 1.413933 0.487239
492 1 1.831155 0.533454 3.40566
493 1 1.336038 0.463048 0.88839
494 1 1.107631 0.993706 0.365746
495 1 1.328076 3.047226 3.545083
496 1 2.594645 1.114792 1.758498
497 1 2.235145 0.019425 3.351751
498 1 3.363171 4.66966 1.929267
499 1 3.500889 4.664368 1.055343
500 1 3.814926 1.077189 2.822174
